starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,Creating tmp table,executing,end,query end,waiting for handler commit,removing tmp table,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
5.1e-05,7.000000000000003e-06,8e-06,2.4e-05,8e-06,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.1e-05,0.02334,1.3000000000000001e-05,7.000000000000003e-06,1.7e-05,1.1e-05,9e-06,3.8e-05,1.4000000000000001e-05,0.023622,11429,11429.0,1606372320.3451061
3.9e-05,6e-06,6e-06,1.8e-05,6e-06,8e-06,6e-06,1e-05,1e-05,2.4e-05,0.012605,1.1e-05,5e-06,1.6e-05,9e-06,7.000000000000003e-06,3e-05,1.4e-05,0.01283,11928,11928.0,1606372380.4371686
4.2e-05,5e-06,1.3000000000000001e-05,1.8e-05,7.000000000000003e-06,8e-06,6e-06,1e-05,1e-05,2.5e-05,0.012866999999999998,1.1e-05,6e-06,1.3000000000000001e-05,9e-06,7.000000000000003e-06,2.9999999999999997e-05,1e-05,0.013097,12416,12416.0,1606372440.5257792
5.2e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,8e-06,1.3e-05,1.2e-05,3.2e-05,0.02579,1.3e-05,7.000000000000003e-06,1.7e-05,1e-05,1e-05,3.4e-05,1.3e-05,0.026067,12942,12942.0,1606372500.6306903
4.2e-05,5e-06,6e-06,1.8e-05,7.000000000000003e-06,8e-06,6e-06,1e-05,1e-05,2.5e-05,0.013744,8e-06,6e-06,1.4000000000000001e-05,8e-06,7.000000000000003e-06,2.9999999999999997e-05,1.1e-05,0.013965,13416,13416.0,1606372560.7192152
5.3e-05,7.000000000000003e-06,8e-06,2.2e-05,9e-06,2.6e-05,9e-06,1.6e-05,1.5e-05,3.8e-05,0.019015,9e-06,6e-06,1.3e-05,8e-06,7.000000000000003e-06,2.9e-05,1.2e-05,0.019302,13878,13878.0,1606372620.8104453
4.1e-05,6e-06,6e-06,1.9e-05,6e-06,8e-06,7.000000000000003e-06,1e-05,1e-05,2.6000000000000002e-05,0.015872999999999998,1.1e-05,6e-06,1.3000000000000001e-05,9e-06,7.000000000000003e-06,3.1e-05,1.2e-05,0.016101,13936,13936.0,1606372680.8970127
4.2e-05,6e-06,8e-06,2e-05,7.000000000000003e-06,8e-06,7.000000000000003e-06,1e-05,1e-05,2.6e-05,0.015341,1e-05,5e-06,1.3e-05,8e-06,7.000000000000003e-06,2.9e-05,1.1e-05,0.015568,14380,14380.0,1606372740.9849842
5.2000000000000004e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,8e-06,1.2e-05,1.3000000000000001e-05,3.2e-05,0.030181,1.7e-05,7.000000000000003e-06,1.7e-05,1.1e-05,9e-06,3.8e-05,1.4000000000000001e-05,0.030467,14824,14824.0,1606372801.057446
5.2e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,8e-06,1.2e-05,1.3e-05,3.1e-05,0.031823000000000004,1.7e-05,8e-06,2.1e-05,3.2e-05,1e-05,3.9e-05,1.4e-05,0.032136,15293,15293.0,1606372861.1108465
5e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,7.000000000000003e-06,1.3000000000000001e-05,1.2e-05,3.2e-05,0.033666,1.4000000000000001e-05,7.000000000000003e-06,2.1e-05,2.7000000000000002e-05,1.1e-05,3.5e-05,1.3000000000000001e-05,0.033964,15729,15729.0,1606372921.2224915
5.1e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,8e-06,1.3e-05,1.2e-05,3.1e-05,0.033507,1.4e-05,7.000000000000003e-06,2e-05,4.2e-05,1e-05,3.9e-05,3e-05,0.033839999999999995,16162,16162.0,1606372981.3287964
5.1e-05,7.000000000000003e-06,8e-06,2.3e-05,9e-06,1.1e-05,8e-06,1.2e-05,1.2e-05,3.2e-05,0.035071,1.8e-05,8e-06,2.1e-05,3.9e-05,1.1e-05,4e-05,1.4999999999999999e-05,0.035396,16583,16583.0,1606373041.4441116
5.400000000000001e-05,1.4e-05,8e-06,2.4e-05,9e-06,1.1e-05,8e-06,1.3e-05,1.3e-05,3.2e-05,0.026524,1e-05,6e-06,1.6e-05,2.4e-05,8e-06,3.1e-05,1.1e-05,0.026816000000000003,17408,17408.0,1606373101.5479825
5e-05,7.000000000000003e-06,8e-06,2.2e-05,8e-06,1e-05,7.000000000000003e-06,1.2e-05,1.1e-05,2.9999999999999997e-05,0.032859,1.6e-05,5e-06,1.6e-05,3.2e-05,7.000000000000003e-06,3.2e-05,1e-05,0.033142000000000005,17822,17822.0,1606373161.6589322
5.3e-05,8e-06,9e-06,2.3e-05,8e-06,1.1e-05,8e-06,1.2e-05,1.2e-05,3.1e-05,0.037212,1.8e-05,7.000000000000003e-06,2.2e-05,4.2e-05,1.1e-05,4.1e-05,1.4e-05,0.037542,18228,18228.0,1606373221.7741725
4.2e-05,5e-06,6e-06,1.8e-05,6e-06,8e-06,6e-06,1e-05,9e-06,2.5e-05,0.019749,1.1e-05,5e-06,1.4999999999999999e-05,2.8000000000000013e-05,7.000000000000003e-06,3.1e-05,2.7000000000000002e-05,0.020008,18629,18629.0,1606373281.869717
5.1e-05,7.000000000000003e-06,7.000000000000003e-06,2.2e-05,9e-06,1e-05,7.000000000000003e-06,1.2e-05,1.2e-05,3e-05,0.038406,1.9e-05,7.000000000000003e-06,2.2e-05,4.1e-05,1e-05,4e-05,1.4e-05,0.038726,19026,19026.0,1606373341.983467
