starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,executing,end,query end,waiting for handler commit,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
7.900000000000001e-05,8e-06,1.3000000000000001e-05,8.1e-05,1e-05,1e-05,1.7e-05,2.4e-05,7.900000000000001e-05,0.95439,1.9e-05,7.000000000000003e-06,0.000478,1e-05,3.7e-05,1.4000000000000001e-05,0.955276,43564,7985.281199999998,1606373803.7946925
5.400000000000001e-05,6e-06,1e-05,5e-05,8e-06,8e-06,1.9e-05,1.7e-05,6.1e-05,0.944524,1.6e-05,6e-06,0.000464,1e-05,1.5e-05,1.2e-05,0.94528,44318,8123.489399999998,1606373866.2966027
9.4e-05,8e-06,1.4999999999999999e-05,8.9e-05,1.1e-05,1.1e-05,2.2e-05,2.8999999999999997e-05,9.2e-05,0.941992,1.7e-05,6e-06,0.000531,1.1e-05,1.8e-05,1.3000000000000001e-05,0.942959,45066,8260.5978,1606373928.875918
7.900000000000001e-05,7.000000000000003e-06,1.3e-05,8e-05,1e-05,1e-05,1.7e-05,2.3e-05,9.8e-05,1.05495,2e-05,8e-06,0.0007650000000000001,1.4e-05,2.2e-05,1.6e-05,1.056132,45816,8398.0728,1606373991.8185074
8e-05,8e-06,1.4000000000000001e-05,8.1e-05,1e-05,1e-05,1.7e-05,2.4e-05,9.6e-05,1.172028,2e-05,8e-06,0.000647,1.4000000000000001e-05,2e-05,1.7e-05,1.173094,46558,8534.0814,1606374054.7359555
6.7e-05,6e-06,1.3e-05,6.3e-05,1e-05,1e-05,1.5e-05,2.1e-05,7e-05,1.053907,1.7e-05,6e-06,0.000535,1e-05,1.7e-05,1.2e-05,1.054779,47302,8670.4566,1606374117.84998
7.099999999999999e-05,7.000000000000003e-06,1.3000000000000001e-05,6.3e-05,1e-05,1e-05,1.6e-05,2.1e-05,7.4e-05,1.023357,1.7e-05,6e-06,0.000513,9e-06,1.7e-05,1.4000000000000001e-05,1.024218,48044,8806.4652,1606374180.2823565
8.4e-05,8e-06,1.4e-05,8.6e-05,1.1e-05,1.2e-05,1.8e-05,2.6e-05,8.8e-05,1.157713,1.9e-05,8e-06,0.0008150000000000001,1.4e-05,2e-05,1.6e-05,1.158952,48762,8938.0746,1606374243.3505652
7.5e-05,7.000000000000003e-06,1.4000000000000001e-05,7.6e-05,1e-05,1e-05,1.8e-05,2.3e-05,7.7e-05,1.187654,1.9e-05,1e-05,0.000767,1.6e-05,2.5e-05,1.9e-05,1.18882,49494,9072.2502,1606374306.3716865
5.400000000000001e-05,6e-06,1.1e-05,5e-05,8e-06,8e-06,1.3e-05,1.7e-05,6.1e-05,1.135108,1.8e-05,8e-06,0.00081,1.3e-05,2.2e-05,1.7e-05,1.136224,50206,9202.7598,1606374369.7073295
9.499999999999999e-05,9e-06,1.8e-05,9.300000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,2.2e-05,3.2e-05,0.000102,1.065785,1.4999999999999999e-05,6e-06,0.000542,1e-05,1.6e-05,1.3000000000000001e-05,1.066784,50928,9335.1024,1606374433.463376
7e-05,6e-06,1.4e-05,9.9e-05,1.1e-05,1e-05,1.7e-05,2.8000000000000013e-05,0.000118,1.144316,1.8e-05,8e-06,0.000792,1.4e-05,2e-05,1.6e-05,1.145557,51644,9466.345200000002,1606374497.346742
8.1e-05,7.000000000000003e-06,1.4000000000000001e-05,8.1e-05,1.1e-05,1.1e-05,1.7e-05,2.4e-05,8.1e-05,1.1116549999999998,1.9e-05,9e-06,0.0008730000000000001,1.6e-05,4.3e-05,1.8e-05,1.11296,52452,9614.4516,1606374560.7263484
8e-05,8e-06,1.4e-05,7.900000000000001e-05,1e-05,1.1e-05,1.7e-05,2.5e-05,8.2e-05,1.304983,2.1e-05,9e-06,0.000878,1.6e-05,2.6e-05,1.9e-05,1.306278,53156,9743.4948,1606374624.1228747
7.3e-05,6e-06,1.2e-05,6.7e-05,9e-06,9e-06,1.4000000000000001e-05,1.9e-05,7e-05,1.3552790000000001,2.3e-05,1e-05,0.00093,1.7e-05,2.8000000000000013e-05,2.1e-05,1.356587,53856,9871.8048,1606374688.447467
7.900000000000001e-05,8e-06,1.4e-05,8.1e-05,1e-05,1.1e-05,1.7e-05,2.4e-05,8.2e-05,1.350047,2e-05,8e-06,0.000851,1.5e-05,2.1e-05,1.7e-05,1.351305,54546,9998.2818,1606374752.3312044
8e-05,8e-06,1.4000000000000001e-05,8e-05,1e-05,1.1e-05,2.1e-05,2.6000000000000002e-05,8.2e-05,1.105472,1.9e-05,7.000000000000003e-06,0.000869,1.3000000000000001e-05,2e-05,1.6e-05,1.106748,55236,10124.7588,1606374815.536549
9.3e-05,9e-06,1.8e-05,9.1e-05,1.3e-05,1.3e-05,2.2e-05,3e-05,0.000107,1.34894,2e-05,9e-06,0.000923,1.7e-05,2.2e-05,1.9e-05,1.3503459999999998,55904,10247.2032,1606374879.6002295
8.1e-05,8e-06,1.4999999999999999e-05,8.2e-05,1.1e-05,1.1e-05,1.7e-05,2.5e-05,0.0001,1.337613,2.2e-05,8e-06,0.000907,1.4000000000000001e-05,2e-05,1.8e-05,1.3389520000000001,56586,10372.2138,1606374944.014238
8.1e-05,8e-06,1.4e-05,8e-05,1e-05,1.1e-05,1.8e-05,2.4e-05,8.3e-05,1.342819,2e-05,8e-06,0.000907,1.3e-05,2.1e-05,1.5e-05,1.344132,57270,10497.591,1606375007.5544655
8.1e-05,7.000000000000003e-06,1.4000000000000001e-05,8e-05,1.1e-05,1.1e-05,1.7e-05,2.3e-05,9.6e-05,1.29023,2.1e-05,8e-06,0.0008880000000000002,1.6e-05,2.3e-05,1.9e-05,1.2915450000000002,57940,10620.401999999998,1606375071.533109
8.1e-05,8e-06,1.4e-05,8.3e-05,1.1e-05,1.1e-05,1.8e-05,2.5e-05,8.3e-05,1.300118,1.7e-05,8e-06,0.0008320000000000001,1.2e-05,2.1e-05,1.6e-05,1.301358,58704,10760.4432,1606375135.2431195
5.9999999999999995e-05,6e-06,1.2e-05,5.400000000000001e-05,9e-06,8e-06,1.3000000000000001e-05,1.8e-05,7.6e-05,1.094722,1.7e-05,7.000000000000003e-06,0.00086,1.3000000000000001e-05,2.1e-05,1.6e-05,1.095912,59358,10880.3214,1606375199.799902
7.8e-05,7.000000000000003e-06,1.4e-05,8e-05,1e-05,1e-05,1.8e-05,2.5e-05,8e-05,1.595265,2.1e-05,9e-06,0.000893,1.5e-05,2.3e-05,1.9e-05,1.596567,60028,11003.1324,1606375264.7171535
8.1e-05,7.000000000000003e-06,1.4000000000000001e-05,8.3e-05,1.1e-05,1.1e-05,1.7e-05,2.4e-05,8.4e-05,1.2225409999999999,1.6e-05,7.000000000000003e-06,0.0008810000000000002,1.4999999999999999e-05,2.1e-05,1.4999999999999999e-05,1.2238280000000001,60694,11125.210199999998,1606375329.173805
8.2e-05,7.000000000000003e-06,1.4e-05,8e-05,1e-05,1e-05,1.7e-05,2.4e-05,9.9e-05,1.891762,2.1e-05,8e-06,0.001004,1.5e-05,2.2e-05,1.9e-05,1.893194,61350,11245.455000000002,1606375394.1188936
6.2e-05,6e-06,1.2e-05,5.3e-05,8e-06,9e-06,1.3000000000000001e-05,1.8e-05,7.6e-05,1.265032,1.4999999999999999e-05,6e-06,0.0006320000000000001,1.1e-05,1.7e-05,1.4999999999999999e-05,1.2659850000000001,62000,11364.6,1606375458.5561225
